race_id,state_postal,state_name,office_id,seat_name,seat_num,race_call_status,last_updated,precincts_reporting,precincts_total,precincts_reporting_pct,expected_vote_pct,total_votes,candidate_id,first_name,last_name,party,incumbent,vote_count,vote_pct
20141104AK2015,AK,Alaska,H,District 1,1,Unknown,2022-10-27T15:26:48.987000+00:00,441,441,100,100,0,6024,Don,Young,GOP,True,142572,51.2
20141104AK2015,AK,Alaska,H,District 1,1,Unknown,2022-10-27T15:26:48.987000+00:00,441,441,100,100,0,6337,Forrest,Dunbar,Dem,False,114602,41.16
20141104AK2015,AK,Alaska,H,District 1,1,Unknown,2022-10-27T15:26:48.987000+00:00,441,441,100,100,0,6381,Jim,McDermott,Lib,False,21290,7.65
20141104AL1005,AL,Alabama,H,District 1,1,Unknown,2022-10-27T15:26:55.503000+00:00,334,334,100,100,0,4519,Bradley,Byrne,GOP,True,103758,68.25
20141104AL1005,AL,Alabama,H,District 1,1,Unknown,2022-10-27T15:26:55.503000+00:00,334,334,100,100,0,4693,Burton,LeFlore,Dem,False,48278,31.75
20141104AL1011,AL,Alabama,H,District 4,4,Unknown,2022-10-27T15:26:58.640000+00:00,447,447,100,100,0,4357,Robert,Aderholt,GOP,True,132831,100
20141104AL1374,AL,Alabama,H,District 2,2,Unknown,2022-10-27T15:26:56.090000+00:00,399,399,100,100,0,4385,Martha,Roby,GOP,True,113103,67.41
20141104AL1374,AL,Alabama,H,District 2,2,Unknown,2022-10-27T15:26:56.090000+00:00,399,399,100,100,0,4694,Erick,Wright,Dem,False,54692,32.59
20141104AL1375,AL,Alabama,H,District 3,3,Unknown,2022-10-27T15:26:57.460000+00:00,314,314,100,100,0,4356,Mike,Rogers,GOP,True,103558,66.22
20141104AL1375,AL,Alabama,H,District 3,3,Unknown,2022-10-27T15:26:57.460000+00:00,314,314,100,100,0,4695,Jesse,Smith,Dem,False,52816,33.78
20141104AL1376,AL,Alabama,H,District 5,5,Unknown,2022-10-27T15:26:59.467000+00:00,214,214,100,100,0,4358,Mo,Brooks,GOP,True,115338,74.73
