race_id,state_postal,state_name,description,category,summary,race_call_status,last_updated,precincts_reporting,precincts_total,precincts_reporting_pct,expected_vote_pct,total_votes,candidate_id,option_name,vote_count,vote_pct
20221108AK3152,AK,Alaska,To propose amendments,Uncategorized,,Called,2022-12-01T00:53:23.889000+00:00,402,402,100,100,256252,7483,No,180529,70.45
20221108AK3152,AK,Alaska,To propose amendments,Uncategorized,,Called,2022-12-01T00:53:23.889000+00:00,402,402,100,100,256252,7484,Yes,75723,29.55
20221108AL2124,AL,Alabama,Consolidate provisions,Uncategorized,,Called,2022-11-28T19:48:17.075000+00:00,1929,1929,100,100,1161496,6370,Yes,888456,76.49
20221108AL2124,AL,Alabama,Consolidate provisions,Uncategorized,,Called,2022-11-28T19:48:17.075000+00:00,1929,1929,100,100,1161496,6369,No,273040,23.51
20221108AR6890,AR,Arkansas,Gov may never burden,Uncategorized,,Called,2022-11-30T23:29:35.474000+00:00,2551,2573,99.14,100,874159,14398,Against,440686,50.41
20221108AR6890,AR,Arkansas,Gov may never burden,Uncategorized,,Called,2022-11-30T23:29:35.474000+00:00,2551,2573,99.14,100,874159,14397,For,433473,49.59
20221108AR6891,AR,Arkansas,"License, regulate, tax",Uncategorized,,Called,2022-11-30T23:29:36.746000+00:00,2551,2573,99.14,100,898066,14400,Against,505128,56.25
20221108AR6891,AR,Arkansas,"License, regulate, tax",Uncategorized,,Called,2022-11-30T23:29:36.746000+00:00,2551,2573,99.14,100,898066,14399,For,392938,43.75
20221108AZ4231,AZ,Arizona,Photo ID in person,Uncategorized,,Called,2022-12-05T18:31:17.295000+00:00,1715,1732,99.02,100,2420850,10843,No,1219669,50.38
20221108AZ4231,AZ,Arizona,Photo ID in person,Uncategorized,,Called,2022-12-05T18:31:17.295000+00:00,1715,1732,99.02,100,2420850,10842,Yes,1201181,49.62
20221108AZ4236,AZ,Arizona,"Initiative, Referendum",Uncategorized,,Called,2022-12-05T18:31:17.987000+00:00,1715,1732,99.02,100,2387029,10852,Yes,1210702,50.72
20221108AZ4236,AZ,Arizona,"Initiative, Referendum",Uncategorized,,Called,2022-12-05T18:31:17.987000+00:00,1715,1732,99.02,100,2387029,10853,No,1176327,49.28
20221108AZ4238,AZ,Arizona,HS Graduates,Uncategorized,,Called,2022-12-05T18:31:18.120000+00:00,1715,1732,99.02,100,2440197,10856,Yes,1250320,51.24
20221108AZ4238,AZ,Arizona,HS Graduates,Uncategorized,,Called,2022-12-05T18:31:18.120000+00:00,1715,1732,99.02,100,2440197,10857,No,1189877,48.76
20221108CA8966,CA,California,"Abortion, contraceptives",Uncategorized,,Called,2022-12-20T16:27:14.917000+00:00,25358,25614,99,100,10730452,23471,Yes,7176888,66.88
20221108CA8966,CA,California,"Abortion, contraceptives",Uncategorized,,Called,2022-12-20T16:27:14.917000+00:00,25358,25614,99,100,10730452,23472,No,3553564,33.12
20221108CA8967,CA,California,10% tax on profits,Uncategorized,,Called,2022-12-12T15:03:49.717000+00:00,25358,25614,99,0,0,23473,No,0,0
20221108CA8967,CA,California,10% tax on profits,Uncategorized,,Called,2022-12-12T15:03:49.717000+00:00,25358,25614,99,0,0,23474,Yes,0,0
20221108CA8968,CA,California,Authorize sports betting,Uncategorized,,Called,2022-12-12T14:38:13.055000+00:00,25358,25614,99,0,0,23476,No,0,0
20221108CA8968,CA,California,Authorize sports betting,Uncategorized,,Called,2022-12-12T14:38:13.055000+00:00,25358,25614,99,0,0,23475,Yes,0,0
