race_id,state_postal,state_name,race_call_status,last_updated,precincts_reporting,precincts_total,precincts_reporting_pct,expected_vote_pct,total_votes,candidate_id,first_name,last_name,party,incumbent,vote_count,vote_pct
20241105DE8080,DE,Delaware,Called,2024-11-06T22:25:28.799000+00:00,528,533,99.06,99.0,498551,103922,Matt,Meyer,Dem,False,279543,56.07
20241105DE8080,DE,Delaware,Called,2024-11-06T22:25:28.799000+00:00,528,533,99.06,99.0,498551,10289,Mike,Ramone,GOP,False,219008,43.93
20241105IN15007,IN,Indiana,Called,2024-11-07T00:34:56.550000+00:00,4800,5113,93.88,93.87,2820411,66197,Mike,Braun,GOP,False,1535979,54.46
20241105IN15007,IN,Indiana,Called,2024-11-07T00:34:56.550000+00:00,4800,5113,93.88,93.87,2820411,162889,Jennifer,McCormick,Dem,False,1156381,41.0
20241105IN15007,IN,Indiana,Called,2024-11-07T00:34:56.550000+00:00,4800,5113,93.88,93.87,2820411,69533,Donald,Rainwater,Lib,False,128051,4.54
20241105MO26795,MO,Missouri,Called,2024-11-06T23:31:10.409000+00:00,3573,3573,100.0,99.0,2937825,130548,Mike,Kehoe,GOP,False,1738063,59.16
20241105MO26795,MO,Missouri,Called,2024-11-06T23:31:10.409000+00:00,3573,3573,100.0,99.0,2937825,131139,Crystal,Quade,Dem,False,1136999,38.7
20241105MO26795,MO,Missouri,Called,2024-11-06T23:31:10.409000+00:00,3573,3573,100.0,99.0,2937825,62422,Bill,Slantz,Lib,False,40627,1.38
20241105MO26795,MO,Missouri,Called,2024-11-06T23:31:10.409000+00:00,3573,3573,100.0,99.0,2937825,131746,Paul,Lehmann,Grn,False,22136,0.75
20241105MT27003,MT,Montana,Called,2024-11-07T04:12:41.047000+00:00,708,731,96.85,96.81,570349,65131,Greg,Gianforte,GOP,True,339383,59.5
20241105MT27003,MT,Montana,Called,2024-11-07T04:12:41.047000+00:00,708,731,96.85,96.81,570349,163469,Ryan,Busse,Dem,False,217069,38.06
20241105MT27003,MT,Montana,Called,2024-11-07T04:12:41.047000+00:00,708,731,96.85,96.81,570349,167872,Kaiser,Leib,Lib,False,13897,2.44
20241105NC35392,NC,North Carolina,Called,2024-11-06T19:37:21.908000+00:00,2658,2658,100.0,99.0,5539376,134769,Josh,Stein,Dem,False,3036723,54.82
20241105NC35392,NC,North Carolina,Called,2024-11-06T19:37:21.908000+00:00,2658,2658,100.0,99.0,5539376,136491,Mark,Robinson,GOP,False,2225602,40.18
20241105NC35392,NC,North Carolina,Called,2024-11-06T19:37:21.908000+00:00,2658,2658,100.0,99.0,5539376,166374,Mike,Ross,Lib,False,174342,3.15
20241105NC35392,NC,North Carolina,Called,2024-11-06T19:37:21.908000+00:00,2658,2658,100.0,99.0,5539376,167551,Vinny,Smith,CST,False,54045,0.98
20241105NC35392,NC,North Carolina,Called,2024-11-06T19:37:21.908000+00:00,2658,2658,100.0,99.0,5539376,166375,Wayne,Turner,Grn,False,48664,0.88
20241105ND35343,ND,North Dakota,Called,2024-11-06T23:23:34.543000+00:00,385,385,100.0,99.0,360667,66922,Kelly,Armstrong,GOP,False,246548,68.36
20241105ND35343,ND,North Dakota,Called,2024-11-06T23:23:34.543000+00:00,385,385,100.0,99.0,360667,134943,Merrill,Piepkorn,Dem,False,93820,26.01
20241105ND35343,ND,North Dakota,Called,2024-11-06T23:23:34.543000+00:00,385,385,100.0,99.0,360667,68733,Michael,Coachman,Ind,False,20299,5.63
20241105NH30005,NH,New Hampshire,Called,2024-11-06T23:16:04.839000+00:00,309,319,96.87,97.55,798343,61040,Kelly,Ayotte,GOP,False,427288,53.52
20241105NH30005,NH,New Hampshire,Called,2024-11-06T23:16:04.839000+00:00,309,319,96.87,97.55,798343,165213,Joyce,Craig,Dem,False,354462,44.4
20241105NH30005,NH,New Hampshire,Called,2024-11-06T23:16:04.839000+00:00,309,319,96.87,97.55,798343,168217,Stephen,Villee,Lib,False,16593,2.08
20241105UT45672,UT,Utah,Called,2024-11-07T01:03:37.358000+00:00,1909,3105,61.48,61.5,930456,68830,Spencer,Cox,GOP,True,524702,56.39
20241105UT45672,UT,Utah,Called,2024-11-07T01:03:37.358000+00:00,1909,3105,61.48,61.5,930456,164467,Brian,Smith King,Dem,False,281262,30.23
20241105UT45672,UT,Utah,Called,2024-11-07T01:03:37.358000+00:00,1909,3105,61.48,61.5,930456,150998,Phil,Lyman 'Write-in',Una,False,80189,8.62
20241105UT45672,UT,Utah,Called,2024-11-07T01:03:37.358000+00:00,1909,3105,61.48,61.5,930456,44473,J. Robert,Latham,Lib,False,23869,2.57
20241105UT45672,UT,Utah,Called,2024-11-07T01:03:37.358000+00:00,1909,3105,61.48,61.5,930456,70420,Tommy,Williams,IAP,False,16819,1.81
20241105UT45672,UT,Utah,Called,2024-11-07T01:03:37.358000+00:00,1909,3105,61.48,61.5,930456,167353,Tom,Tomeny,Una,False,3457,0.37
20241105UT45672,UT,Utah,Called,2024-11-07T01:03:37.358000+00:00,1909,3105,61.48,61.5,930456,168583,Charlie,Tautuaa 'Write-in',Una,False,158,0.02
20241105VT46375,VT,Vermont,Called,2024-11-06T23:08:50.122000+00:00,283,283,100.0,98.98,362895,45443,Phil,Scott,GOP,True,266339,73.39
20241105VT46375,VT,Vermont,Called,2024-11-06T23:08:50.122000+00:00,283,283,100.0,98.98,362895,164617,Esther,Charlestin,Dem,False,79192,21.82
20241105VT46375,VT,Vermont,Called,2024-11-06T23:08:50.122000+00:00,283,283,100.0,98.98,362895,69498,Kevin,Hoyt,Ind,False,9360,2.58
20241105VT46375,VT,Vermont,Called,2024-11-06T23:08:50.122000+00:00,283,283,100.0,98.98,362895,167782,June,Goodband,PJP,False,4511,1.24
20241105VT46375,VT,Vermont,Called,2024-11-06T23:08:50.122000+00:00,283,283,100.0,98.98,362895,167786,Eli,Mutino,Ind,False,2411,0.66
20241105WA48022,WA,Washington,Called,2024-11-07T04:51:29.826000+00:00,4740,6000,79.0,79.0,2874836,149729,Bob,Ferguson,Dem,False,1617302,56.26
20241105WA48022,WA,Washington,Called,2024-11-07T04:51:29.826000+00:00,4740,6000,79.0,79.0,2874836,50215,Dave,Reichert,GOP,False,1257534,43.74
20241105WV49136,WV,West Virginia,Called,2024-11-06T21:18:20.164000+00:00,1496,1657,90.28,97.13,731067,66287,Patrick,Morrisey,GOP,False,454021,62.1
20241105WV49136,WV,West Virginia,Called,2024-11-06T21:18:20.164000+00:00,1496,1657,90.28,97.13,731067,162001,Steve,Williams,Dem,False,230238,31.49
20241105WV49136,WV,West Virginia,Called,2024-11-06T21:18:20.164000+00:00,1496,1657,90.28,97.13,731067,69619,Erika,Kolenich,Lib,False,20967,2.87
20241105WV49136,WV,West Virginia,Called,2024-11-06T21:18:20.164000+00:00,1496,1657,90.28,97.13,731067,155104,Marshall,Wilson,CST,False,16384,2.24
20241105WV49136,WV,West Virginia,Called,2024-11-06T21:18:20.164000+00:00,1496,1657,90.28,97.13,731067,166876,Chase,Linko-Looper,Mnt,False,9457,1.29
