race_id,state_postal,state_name,office_id,seat_name,seat_num,race_call_status,last_updated,precincts_reporting,precincts_total,precincts_reporting_pct,expected_vote_pct,total_votes,candidate_id,first_name,last_name,party,incumbent,vote_count,vote_pct
20241105AK2015,AK,Alaska,H,District 1,1,Too Early to Call,2024-11-07T00:12:19.637000+00:00,307,403,76.18,76.27,252310,70724,Nick,Begich,GOP,False,124969,49.53
20241105AK2015,AK,Alaska,H,District 1,1,Too Early to Call,2024-11-07T00:12:19.637000+00:00,307,403,76.18,76.27,252310,70718,Mary,Peltola,Dem,True,114511,45.39
20241105AK2015,AK,Alaska,H,District 1,1,Too Early to Call,2024-11-07T00:12:19.637000+00:00,307,403,76.18,76.27,252310,69349,John Wayne,Howe,AKI,False,9791,3.88
20241105AK2015,AK,Alaska,H,District 1,1,Too Early to Call,2024-11-07T00:12:19.637000+00:00,307,403,76.18,76.27,252310,167001,Eric,Hafner,Dem,False,2485,0.98
20241105AL1005,AL,Alabama,H,District 1,1,Called,2024-11-06T20:56:32.284000+00:00,255,258,98.84,99.0,327761,66781,Barry,Moore,GOP,True,257310,78.51
20241105AL1005,AL,Alabama,H,District 1,1,Called,2024-11-06T20:56:32.284000+00:00,255,258,98.84,99.0,327761,100458,Tom,Holmes,Dem,False,70451,21.49
20241105AL1011,AL,Alabama,H,District 4,4,Called,2024-11-06T07:00:12.960000+00:00,0,386,0.0,0.0,0,523,Robert,Aderholt,GOP,True,0,0
20241105AL1374,AL,Alabama,H,District 2,2,Called,2024-11-06T20:19:21.167000+00:00,292,295,98.98,99.0,287939,160906,Shomari,Figures,Dem,False,157092,54.56
20241105AL1374,AL,Alabama,H,District 2,2,Called,2024-11-06T20:19:21.167000+00:00,292,295,98.98,99.0,287939,160910,Caroleene,Dobson,GOP,False,130847,45.44
20241105AL1375,AL,Alabama,H,District 3,3,Called,2024-11-06T06:59:44.793000+00:00,0,277,0.0,0.0,0,1161,Mike,Rogers,GOP,True,0,0
20241105AL1376,AL,Alabama,H,District 5,5,Called,2024-11-06T07:00:08.776000+00:00,0,203,0.0,0.0,0,70499,Dale,Strong,GOP,True,0,0
20241105AL1377,AL,Alabama,H,District 6,6,Called,2024-11-06T20:18:55.647000+00:00,226,228,99.12,99.0,344547,63532,Gary,Palmer,GOP,True,242709,70.44
20241105AL1377,AL,Alabama,H,District 6,6,Called,2024-11-06T20:18:55.647000+00:00,226,228,99.12,99.0,344547,160919,Elizabeth,Anderson,Dem,False,101838,29.56
20241105AL1378,AL,Alabama,H,District 7,7,Called,2024-11-06T20:20:26.213000+00:00,366,370,98.92,99.0,292575,60639,Terri,Sewell,Dem,True,186407,63.71
20241105AL1378,AL,Alabama,H,District 7,7,Called,2024-11-06T20:20:26.213000+00:00,366,370,98.92,99.0,292575,100483,Robin,Litaker,GOP,False,106168,36.29
20241105AR5104,AR,Arkansas,H,District 1,1,Called,2024-11-06T23:42:16.216000+00:00,680,687,98.98,99.0,266585,60226,Rick,Crawford,GOP,True,194365,72.91
20241105AR5104,AR,Arkansas,H,District 1,1,Called,2024-11-06T23:42:16.216000+00:00,680,687,98.98,99.0,266585,103362,Rodney,Govens,Dem,False,63889,23.97
20241105AR5104,AR,Arkansas,H,District 1,1,Called,2024-11-06T23:42:16.216000+00:00,680,687,98.98,99.0,266585,104074,Steve,Parsons,Lib,False,8331,3.13
20241105AR5105,AR,Arkansas,H,District 2,2,Called,2024-11-06T23:42:18.080000+00:00,405,409,99.02,99.0,305624,63416,French,Hill,GOP,True,180229,58.97
20241105AR5105,AR,Arkansas,H,District 2,2,Called,2024-11-06T23:42:18.080000+00:00,405,409,99.02,99.0,305624,161437,Marcus,Jones,Dem,False,125395,41.03
20241105AR5107,AR,Arkansas,H,District 4,4,Called,2024-11-06T21:54:26.253000+00:00,861,870,98.97,99.0,269664,63418,Bruce,Westerman,GOP,True,196660,72.93
20241105AR5107,AR,Arkansas,H,District 4,4,Called,2024-11-06T21:54:26.253000+00:00,861,870,98.97,99.0,269664,5938,Risie,Howard,Dem,False,73004,27.07
20241105AR6092,AR,Arkansas,H,District 3,3,Called,2024-11-06T22:05:58.663000+00:00,866,876,98.86,98.9,300489,60238,Steve,Womack,GOP,True,191788,63.83
20241105AR6092,AR,Arkansas,H,District 3,3,Called,2024-11-06T22:05:58.663000+00:00,866,876,98.86,98.9,300489,161438,Caitlin,Draper,Dem,False,95396,31.75
20241105AR6092,AR,Arkansas,H,District 3,3,Called,2024-11-06T22:05:58.663000+00:00,866,876,98.86,98.9,300489,167499,Bobby,Wilson,Lib,False,13305,4.43
20241105AZ3004,AZ,Arizona,H,District 1,1,Too Early to Call,2024-11-07T04:13:36.538000+00:00,144,209,68.9,68.98,337033,5397,David,Schweikert,GOP,True,173232,51.4
20241105AZ3004,AZ,Arizona,H,District 1,1,Too Early to Call,2024-11-07T04:13:36.538000+00:00,144,209,68.9,68.98,337033,101869,Amish,Shah,Dem,False,163801,48.6
20241105AZ3006,AZ,Arizona,H,District 2,2,Too Early to Call,2024-11-07T04:13:39.966000+00:00,205,296,69.26,69.2,303405,70963,Eli,Crane,GOP,True,160853,53.02
20241105AZ3006,AZ,Arizona,H,District 2,2,Too Early to Call,2024-11-07T04:13:39.966000+00:00,205,296,69.26,69.2,303405,164639,Jonathan,Nez,Dem,False,142552,46.98
20241105AZ3008,AZ,Arizona,H,District 3,3,Called,2024-11-07T04:13:34.625000+00:00,92,132,69.7,69.53,138007,164823,Yassamin,Ansari,Dem,False,97294,70.5
20241105AZ3008,AZ,Arizona,H,District 3,3,Called,2024-11-07T04:13:34.625000+00:00,92,132,69.7,69.53,138007,70970,Jeff,Zink,GOP,False,37461,27.14
20241105AZ3008,AZ,Arizona,H,District 3,3,Called,2024-11-07T04:13:34.625000+00:00,92,132,69.7,69.53,138007,167577,Alan,Aversa,Grn,False,3252,2.36
20241105AZ3010,AZ,Arizona,H,District 4,4,Too Early to Call,2024-11-07T04:13:40.445000+00:00,104,151,68.87,69.1,248815,67576,Greg,Stanton,Dem,True,131896,53.01
20241105AZ3010,AZ,Arizona,H,District 4,4,Too Early to Call,2024-11-07T04:13:40.445000+00:00,104,151,68.87,69.1,248815,70973,Kelly,Cooper,GOP,False,112924,45.38
20241105AZ3010,AZ,Arizona,H,District 4,4,Too Early to Call,2024-11-07T04:13:40.445000+00:00,104,151,68.87,69.1,248815,167854,Vincent,Beck-Jones,Grn,False,3995,1.61
20241105AZ3012,AZ,Arizona,H,District 5,5,Called,2024-11-07T04:13:32.823000+00:00,108,151,71.52,71.32,321922,52611,Andy,Biggs,GOP,True,192591,59.83
20241105AZ3012,AZ,Arizona,H,District 5,5,Called,2024-11-07T04:13:32.823000+00:00,108,151,71.52,71.32,321922,164827,Katrina,Schaffner,Dem,False,129331,40.17
20241105AZ3544,AZ,Arizona,H,District 6,6,Too Early to Call,2024-11-07T04:13:34.803000+00:00,164,247,66.4,66.51,293307,70979,Juan,Ciscomani,GOP,True,143757,49.01
20241105AZ3544,AZ,Arizona,H,District 6,6,Too Early to Call,2024-11-07T04:13:34.803000+00:00,164,247,66.4,66.51,293307,70975,Kirsten,Engel,Dem,False,142989,48.75
20241105AZ3544,AZ,Arizona,H,District 6,6,Too Early to Call,2024-11-07T04:13:34.803000+00:00,164,247,66.4,66.51,293307,167855,Athena,Eastwood,Grn,False,6561,2.24
20241105AZ3920,AZ,Arizona,H,District 7,7,Called,2024-11-07T04:13:49.628000+00:00,114,204,55.88,55.97,172313,1131,Raul,Grijalva,Dem,True,108461,62.94
20241105AZ3920,AZ,Arizona,H,District 7,7,Called,2024-11-07T04:13:49.628000+00:00,114,204,55.88,55.97,172313,164828,Daniel,Butierez,GOP,False,63852,37.06
20241105AZ3924,AZ,Arizona,H,District 8,8,Called,2024-11-07T04:13:49.948000+00:00,121,175,69.14,69.1,285982,101964,Abraham,Hamadeh,GOP,False,159838,55.89
20241105AZ3924,AZ,Arizona,H,District 8,8,Called,2024-11-07T04:13:49.948000+00:00,121,175,69.14,69.1,285982,164829,Gregory,Whitten,Dem,False,126144,44.11
20241105AZ4173,AZ,Arizona,H,District 9,9,Called,2024-11-07T04:13:56.597000+00:00,123,171,71.93,71.78,286165,61002,Paul,Gosar,GOP,True,188795,65.97
20241105AZ4173,AZ,Arizona,H,District 9,9,Called,2024-11-07T04:13:56.597000+00:00,123,171,71.93,71.78,286165,164831,Quacy,Smith,Dem,False,97370,34.03
20241105CA5692,CA,California,H,District 2,2,Called,2024-11-06T09:54:46.158000+00:00,368,790,46.58,46.56,213242,62063,Jared,Huffman,Dem,True,152931,71.72
20241105CA5692,CA,California,H,District 2,2,Called,2024-11-06T09:54:46.158000+00:00,368,790,46.58,46.56,213242,70565,Chris,Coulombe,GOP,False,60311,28.28
20241105CA5693,CA,California,H,District 3,3,Called,2024-11-07T04:24:44.708000+00:00,401,666,60.21,60.19,258641,69756,Kevin,Kiley,GOP,True,148616,57.46
20241105CA5693,CA,California,H,District 3,3,Called,2024-11-07T04:24:44.708000+00:00,401,666,60.21,60.19,258641,66521,Jessica,Morse,Dem,False,110025,42.54
20241105CA5694,CA,California,H,District 4,4,Called,2024-11-07T01:24:45.273000+00:00,316,625,50.56,50.64,193487,1115,Mike,Thompson,Dem,True,125815,65.03
20241105CA5694,CA,California,H,District 4,4,Called,2024-11-07T01:24:45.273000+00:00,316,625,50.56,50.64,193487,7959,John,Munn,GOP,False,67672,34.97
20241105CA5697,CA,California,H,District 7,7,Called,2024-11-07T01:24:47.926000+00:00,147,327,44.95,44.96,140874,51416,Doris,Matsui,Dem,True,90818,64.47
20241105CA5697,CA,California,H,District 7,7,Called,2024-11-07T01:24:47.926000+00:00,147,327,44.95,44.96,140874,160967,Tom,Silva,GOP,False,50056,35.53
20241105CA5702,CA,California,H,District 12,12,Too Early to Call,2024-11-06T21:36:33.395000+00:00,54,194,27.84,27.59,95462,161049,Lateefah,Simon,Dem,False,60178,63.04
20241105CA5702,CA,California,H,District 12,12,Too Early to Call,2024-11-06T21:36:33.395000+00:00,54,194,27.84,27.59,95462,161051,Jennifer,Tran,Dem,False,35284,36.96
20241105CA5703,CA,California,H,District 13,13,Too Early to Call,2024-11-06T11:30:42.937000+00:00,526,1004,52.39,52.37,110381,70543,John,Duarte,GOP,True,56785,51.44
20241105CA5703,CA,California,H,District 13,13,Too Early to Call,2024-11-06T11:30:42.937000+00:00,526,1004,52.39,52.37,110381,70545,Adam,Gray,Dem,False,53596,48.56
20241105CA5718,CA,California,H,District 28,28,Called,2024-11-07T01:24:46.505000+00:00,280,440,63.64,63.63,226086,52450,Judy,Chu,Dem,True,144331,63.84
20241105CA5718,CA,California,H,District 28,28,Called,2024-11-07T01:24:46.505000+00:00,280,440,63.64,63.63,226086,161080,April,Verlato,GOP,False,81755,36.16
20241105CA5726,CA,California,H,District 36,36,Called,2024-11-07T01:24:45.560000+00:00,122,177,68.93,69.06,269118,63666,Ted,Lieu,Dem,True,180757,67.17
20241105CA5726,CA,California,H,District 36,36,Called,2024-11-07T01:24:45.560000+00:00,122,177,68.93,69.06,269118,70606,Melissa,Toomim,GOP,False,88361,32.83
20241105CA5732,CA,California,H,District 42,42,Called,2024-11-07T01:24:46.044000+00:00,103,178,57.87,58.05,159754,70642,Robert,Garcia,Dem,True,104652,65.51
20241105CA5732,CA,California,H,District 42,42,Called,2024-11-07T01:24:46.044000+00:00,103,178,57.87,58.05,159754,66602,John,Briscoe,GOP,False,55102,34.49
20241105CA5695,CA,California,H,District 5,5,Called,2024-11-07T01:26:38.168000+00:00,318,492,64.63,64.62,255473,52499,Tom,McClintock,GOP,True,158831,62.17
20241105CA5695,CA,California,H,District 5,5,Called,2024-11-07T01:26:38.168000+00:00,318,492,64.63,64.62,255473,62828,Michael,Barkley,Dem,False,96642,37.83
20241105CA5696,CA,California,H,District 6,6,Called,2024-11-06T10:14:46.361000+00:00,137,310,44.19,44.13,132791,60686,Ami,Bera,Dem,True,75484,56.84
20241105CA5696,CA,California,H,District 6,6,Called,2024-11-06T10:14:46.361000+00:00,137,310,44.19,44.13,132791,67993,Christine,Bish,GOP,False,57307,43.16
20241105CA5698,CA,California,H,District 8,8,Called,2024-11-07T01:24:48.125000+00:00,246,397,61.96,62.03,190648,7136,John,Garamendi,Dem,True,138872,72.84
20241105CA5698,CA,California,H,District 8,8,Called,2024-11-07T01:24:48.125000+00:00,246,397,61.96,62.03,190648,70672,Rudy,Recile,GOP,False,51776,27.16
20241105CA5699,CA,California,H,District 9,9,Too Early to Call,2024-11-06T21:02:50.394000+00:00,161,287,56.1,56.01,146263,66533,Josh,Harder,Dem,True,74156,50.7
20241105CA5699,CA,California,H,District 9,9,Too Early to Call,2024-11-06T21:02:50.394000+00:00,161,287,56.1,56.01,146263,105816,Kevin,Lincoln,GOP,False,72107,49.3
20241105CA5701,CA,California,H,District 11,11,Called,2024-11-06T07:40:42.003000+00:00,227,451,50.33,50.3,195790,24,Nancy,Pelosi,Dem,True,157744,80.57
20241105CA5701,CA,California,H,District 11,11,Called,2024-11-06T07:40:42.003000+00:00,227,451,50.33,50.3,195790,161045,Bruce,Lou,GOP,False,38046,19.43
20241105CA5704,CA,California,H,District 14,14,Called,2024-11-06T09:16:44.825000+00:00,101,343,29.45,29.41,95571,62343,Eric,Swalwell,Dem,True,60817,63.64
20241105CA5704,CA,California,H,District 14,14,Called,2024-11-06T09:16:44.825000+00:00,101,343,29.45,29.41,95571,161052,Vin,Kruttiventi,GOP,False,34754,36.36
20241105CA5705,CA,California,H,District 15,15,Called,2024-11-06T10:20:47.536000+00:00,160,302,52.98,52.86,181316,70553,Kevin,Mullin,Dem,True,130072,71.74
20241105CA5705,CA,California,H,District 15,15,Called,2024-11-06T10:20:47.536000+00:00,160,302,52.98,52.86,181316,161053,Anna,Kramer,GOP,False,51244,28.26
20241105CA5706,CA,California,H,District 16,16,Called,2024-11-07T01:24:48.483000+00:00,196,365,53.7,53.83,196984,105726,Sam,Liccardo,Dem,False,117905,59.86
20241105CA5706,CA,California,H,District 16,16,Called,2024-11-07T01:24:48.483000+00:00,196,365,53.7,53.83,196984,105649,Evan,Low,Dem,False,79079,40.14
20241105CA5707,CA,California,H,District 17,17,Called,2024-11-07T01:24:47.648000+00:00,130,253,51.38,51.38,147245,7547,Ro,Khanna,Dem,True,97231,66.03
20241105CA5707,CA,California,H,District 17,17,Called,2024-11-07T01:24:47.648000+00:00,130,253,51.38,51.38,147245,161060,Anita,Chen,GOP,False,50014,33.97
20241105CA5708,CA,California,H,District 18,18,Called,2024-11-07T01:24:42.076000+00:00,172,344,50.0,50.12,131923,49,Zoe,Lofgren,Dem,True,83381,63.2
20241105CA5708,CA,California,H,District 18,18,Called,2024-11-07T01:24:42.076000+00:00,172,344,50.0,50.12,131923,70562,Peter,Hernandez,GOP,False,48542,36.8
20241105CA5709,CA,California,H,District 19,19,Called,2024-11-07T01:24:40.219000+00:00,248,436,56.88,56.81,236097,65030,Jimmy,Panetta,Dem,True,164472,69.66
20241105CA5709,CA,California,H,District 19,19,Called,2024-11-07T01:24:40.219000+00:00,248,436,56.88,56.81,236097,161064,Jason,Anderson,GOP,False,71625,30.34
20241105CA5710,CA,California,H,District 20,20,Called,2024-11-06T17:15:30.421000+00:00,349,626,55.75,55.7,183210,105858,Vince,Fong,GOP,True,119720,65.35
20241105CA5710,CA,California,H,District 20,20,Called,2024-11-06T17:15:30.421000+00:00,349,626,55.75,55.7,183210,161067,Mike,Boudreaux,GOP,False,63490,34.65
20241105CA5712,CA,California,H,District 22,22,Too Early to Call,2024-11-06T18:07:40.021000+00:00,340,608,55.92,55.9,97749,62229,David,Valadao,GOP,True,53794,55.03
20241105CA5712,CA,California,H,District 22,22,Too Early to Call,2024-11-06T18:07:40.021000+00:00,340,608,55.92,55.9,97749,70573,Rudy,Salas,Dem,False,43955,44.97
20241105CA5713,CA,California,H,District 23,23,Called,2024-11-07T01:24:44.664000+00:00,1018,1652,61.62,61.6,162525,67998,Jay,Obernolte,GOP,True,98263,60.46
20241105CA5713,CA,California,H,District 23,23,Called,2024-11-07T01:24:44.664000+00:00,1018,1652,61.62,61.6,162525,70575,Derek,Marshall,Dem,False,64262,39.54
20241105CA5714,CA,California,H,District 24,24,Called,2024-11-07T01:24:44.267000+00:00,403,728,55.36,55.34,214545,65043,Salud,Carbajal,Dem,True,134035,62.47
20241105CA5714,CA,California,H,District 24,24,Called,2024-11-07T01:24:44.267000+00:00,403,728,55.36,55.34,214545,161073,Thomas,Cole,GOP,False,80510,37.53
20241105CA5715,CA,California,H,District 25,25,Called,2024-11-07T03:29:03.255000+00:00,458,709,64.6,64.54,144763,62342,Raul,Ruiz,Dem,True,81541,56.33
20241105CA5715,CA,California,H,District 25,25,Called,2024-11-07T03:29:03.255000+00:00,458,709,64.6,64.54,144763,106951,Ian,Weeks,GOP,False,63222,43.67
20241105CA5716,CA,California,H,District 26,26,Too Early to Call,2024-11-07T01:24:44.921000+00:00,678,1098,61.75,61.73,231366,62395,Julia,Brownley,Dem,True,125793,54.37
